Hi.	Salut!
Am I early?	Suis-je en avance ?
Am I wrong?	Est-ce que je me trompe ?
Are you up?	Es-tu debout ?
Be careful!	Sois prudente !
Be careful.	Soyez prudents !
Be patient.	Sois patient.
Bring wine.	Apporte du vin.
Check this.	Regarde ça.
Come alone.	Venez seules !
Cut it out!	Arrête !
Don't fret.	Ne te tracasse pas.
Don't sing.	Ne chante pas.
Face facts!	Rends-toi à l'évidence.
Forget Tom.	Oubliez Tom.
Give it up.	Laisse tomber.
He hung up.	Il a raccroché.
He is sick.	Il est malade.
Here he is!	Il est ici !
How is Tom?	Comment va Tom ?
I broke it.	Je l'ai cassé.
I can stay.	Je peux rester.
I disagree.	Je ne suis pas d'accord.
I feel bad.	Je me sens mal.
I fixed it.	Je l'ai réparé.
I got sick.	Je suis devenu malade.
I have won.	Je l'ai emporté.
I like him.	Je l'apprécie.
I love Tom.	J'aime Tom.
I met them.	Je les ai rencontrées.
I promised.	J'ai promis.
I saw them.	Je les ai vus.
I want one!	J'en veux un !
I was good.	J'ai été bon.
I was lost.	J'étais perdu.
I wrote it.	C'est moi qui l'ai écrit.
I'll stand.	Je resterai debout.
I'm buying.	C'est moi qui paie.
I'm greedy.	Je suis gourmand.
I'm in bed.	Je suis alité.
I'm normal.	Je suis normal.
I'm shaken.	Je suis remuée.
I'm strict.	Je suis stricte.
Ignore Tom.	Ignore Tom.
Is it blue?	Est-ce bleu ?
Is it time?	Est-il l'heure ?
It matters.	C'est important.
It's bulky.	C'est encombrant.
It's night.	Il fait nuit.
It's taboo.	C’est un sujet tabou.
Just do it.	Fais-le, tout simplement !
Keep still.	Restez tranquille !
Let him in.	Laisse-le entrer.
Let me try.	Laisse-moi essayer.
Lighten up.	Relaxe !
Love hurts.	L'amour fait mal.
No problem.	Pas de problème.
Replace it.	Remplace-la.
Run for it!	Filez !
Stand back!	Reculez !
Stay awake.	Reste debout.
Study hard.	Étudie avec application.
Talk to me!	Parle-moi !
That hurts.	Ça fait mal.
They agree.	Ils sont d'accord.
Time is up.	Le temps est écoulé.
Tom helped.	Tom aida.
Tom obeyed.	Tom a obéi.
Tom's deaf.	Tom est sourd.
Tom's home.	Tom est chez lui.
Turn it up.	Montez-le.
We are men.	Nous sommes des hommes.
We made it.	Nous avons réussi.
We saw you.	Nous t'avons vu.
We'll walk.	Nous marcherons.
We're done.	Nous en avons terminé.
We're lost.	Nous sommes perdus.
What is it?	Qu'est-ce ?
Who phoned?	Qui est-ce qui a téléphoné ?
You decide.	Vous, décidez.
You're big.	Tu es grand.
You're odd.	Vous êtes bizarres.
You've won!	Vous avez gagné !
Anyone hurt?	Qui que ce soit est-il blessé ?
Are you mad?	Êtes-vous fou ?
Be creative.	Soyez créatifs !
Be discreet.	Soyez discrètes !
Be merciful.	Soyez clément !
Be prepared.	Sois préparée !
Be prepared.	Soyez prêts !
Be punctual.	Soyez ponctuel !
Be watchful.	Sois prudente !
Can we help?	Pouvons-nous donner un coup de main ?
Clean it up.	Nettoie-le.
Cover it up.	Camouflez-le.
Do it again!	Fais-le de nouveau !
Don't cheat.	Ne trichez pas.
Don't leave!	Ne t'en va pas !
Don't shoot.	Ne tirez pas !
Don't worry.	Ne vous inquiétez pas.
Go have fun.	Amuse-toi bien.
Go with Tom.	Allez avec Tom.
He can come.	Il peut venir.
He has come!	Il est venu !
He likes me.	Il m'aime bien.
He stood up.	Il s'est levé.
He's coming.	Il est en train d'arriver.
Hello again.	Re-bonjour.
Here we are.	Nous y voici.
I also went.	J'y suis également allé.
I assume so.	Je le suppose.
I can do it.	Je peux y arriver.
I can't win.	Je ne peux pas gagner.
I didn't go.	Je ne m'y suis pas rendu.
I exercised.	Je me suis entraîné.
I feel sick.	Je me sens mal.
I got bored.	J'ai commencé à m'ennuyer.
I got fined.	J'ai pris une contravention.
I guess not.	J'imagine que non.
I hate that.	Je déteste ça.
I have time.	J'ai du temps.
I like blue.	J'apprécie le bleu.
I like rice.	J'aime le riz.
I love dogs.	J'adore les chiens.
I messed up.	J'ai merdé.
I nailed it.	Je l'ai cloué.
I need them.	J'ai besoin d'eux.
I oppose it.	J'y suis opposé.
I said stop.	J'ai dit stop.
I should go.	Je devrais partir.
I trust you.	Je me fie à toi.
I want more.	Je veux davantage.
I was bored.	Je m'ennuyais.
I was moved.	J'étais ému.
I was ready.	J'y étais prête.
I was tired.	J’étais fatiguée.
I will come.	Je viendrai.
I won't die.	Je ne vais pas mourir.
I'll get it.	Je vais aller le chercher.
I'm a baker.	Je suis boulanger.
I'm baffled.	Je suis perplexe.
I'm correct.	J'ai raison.
I'm excited.	Je suis excitée.
I'm humming.	Je fredonne.
I'm married.	Je suis marié.
I'm not mad.	Je ne suis pas fou.
I'm psyched.	Je suis remonté.
I'm retired.	Je suis pensionnée.
I'm so full.	Je suis tellement rassasié.
I'm stunned.	Je suis sidérée.
I'm trapped.	Je suis piégé.
I'm working.	Je suis en train de travailler.
Is Tom hurt?	Tom est-il blessé ?
Is Tom well?	Est-ce que Tom va bien ?
Is it to go?	Cela doit-il partir ?
Is that Tom?	Est-ce Tom ?
It may snow.	Il va peut-être se mettre à neiger.
It'll break.	Ça va rompre.
It's a scam.	Il s'agit d'une arnaque.
It's my job.	C'est mon emploi.
It's warmer.	Il fait plus chaud.
Let me know.	Avise-moi !
Let's drink.	Buvons !
Look around.	Regardez autour de vous.
Many thanks.	Mille mercis.
Nice timing.	Moins une !
Nobody came.	Personne n'est venu.
Pick a date.	Choisis une date !
Please sing.	S'il vous plaît, chantez !
Please wait.	Veuillez patienter un instant.
Send him in.	Envoie-le !
She is late.	Elle est en retard.
Stand aside.	Écarte-toi.
Stay in bed.	Restez alitée !
Take a bite.	Croque !
Take a rest.	Reposez-vous.
Take it all.	Prenez tout !
That's hard.	C'est dur.
That's mine.	C'est le mien.
They burned.	Ils ont brûlé.
They smiled.	Elles ont souri.
This is big.	C'est gros.
Tom blushed.	Tom a rougi.
Tom is nuts.	Tom est malade mental.
Tom left me.	Tom m’a quittée.
Tom'll quit.	Tom va démissionner.
Tom's drunk.	Tom est saoul.
Try to rest.	Essayez de vous reposer.
War is evil.	La guerre est mauvaise.
We all quit.	Nous démissionnons toutes.
We broke up.	Nous éclatâmes de rire.
We can't go.	Nous ne pouvons pas partir.
We like Tom.	Nous apprécions Tom.
We need you.	Nous avons besoin de vous.
We want one.	Nous en voulons une.
We're alone.	Nous sommes seuls.
We're dying.	Nous sommes en train de mourir.
We're sorry.	Nous sommes désolées.
What a dope!	Quel couillon !
What a pain!	Quelle plaie.
What's that?	Qu'est-ce que c'est que ça ?
Where was I?	Où en étais-je ?
Who owns it?	Qui détient cela ?
Will you go?	T'y rendras-tu ?
You are mad.	Tu es fou.
You must go.	Tu dois y aller.
You're fair.	Vous êtes justes.
You're good.	Tu es bonne.
You're lazy.	Vous êtes paresseuses.
You're nuts!	Tu es fou !
You're rich.	Tu es riche.
You're safe.	Tu es sauf.
You're thin.	Vous êtes mince.
Act your age.	Comportez-vous comme quelqu'un de votre âge.
Anybody home?	Y a-t-il quelqu'un ?
Are we alone?	Sommes-nous seules ?
Are you busy?	Êtes-vous occupée ?
Are you home?	Êtes-vous chez vous ?
Are you hurt?	Êtes-vous blessés ?
Are you lost?	Es-tu perdu ?
Are you sure?	Êtes-vous sûr ?
Be confident.	Sois confiant !
Be objective.	Soyez objectifs.
Can I finish?	Puis-je en finir ?
Can we start?	Pouvons-nous commencer ?
Can you walk?	Peux-tu marcher ?
Come join us.	Viens nous rejoindre !
Come quickly.	Viens vite.
Cover for me.	Remplace-moi.
Did you call?	Tu avais appelé ?
Do you drink?	Buvez-vous ?
Do your best.	Faites au mieux.
Don't be shy.	Ne sois pas timide.
Don't litter!	Ne pas déverser d'immondices !
Easy does it.	On n'est pas aux pièces !
Get a doctor.	Va chercher un médecin !
Give me half.	Donne-moi la moitié.
Grab a spoon.	Attrape une cuillère.
Have a drink.	Prenez une boisson !
He denied it.	Il le nia.
He has money.	Il dispose d'argent.
He just left.	Il vient de partir.
He let us go.	Il nous a laissés nous en aller.
He shall die.	Il doit mourir.
He was wrong.	Il eut tort.
He's in pain.	Il souffre.
How annoying!	C'est bien embêtant !
I admire you.	Je t'admire.
I am working.	Je suis en train de travailler.
I called you.	Je vous ai appelée.
I can't sing.	Je ne sais pas chanter.
I cry easily.	Je pleure facilement.
I didn't cry.	Je n'ai pas pleuré.
I don't date.	Je ne sors pas avec un garçon.
I feel alive.	Je me sens vivant.
I feel giddy.	J'ai la tête qui tourne.
I felt awful.	Je me sentis affreusement mal.
I felt naked.	Je me suis senti nue.
I got caught.	On m'a attrapée.
I handled it.	J'ai su y faire.
I have a cat.	J'ai une chatte.
I have needs.	J'ai des besoins.
I hear music.	J'entends de la musique.
I keep a dog.	J'élève un chien.
I like opera.	J'apprécie l'opéra.
I love bread.	J'adore le pain.
I made it up.	Je l’ai inventé.
I must hurry.	Je dois me hâter.
I need a job.	J'ai besoin d'un emploi.
I need space.	J'ai besoin d'espace.
I play piano.	Je joue du piano.
I smelled it.	Je l'ai senti.
I teach here.	J'enseigne ici.
I want a lot.	J'en veux beaucoup.
I was beaten.	J'ai été frappé.
I was shaken.	J'ai été secoué.
I went twice.	Je m'y suis rendu à deux reprises.
I work alone.	Je travaille seule.
I'll be late.	Je serai en retard.
I'll go home.	J'irai chez moi.
I'll pay you.	Je te paierai.
I'm 99% sure.	J'en suis sûr à 99%.
I'm a farmer.	Je suis fermier.
I'm a member.	Je suis membre.
I'm all done.	J'ai tout fini.
I'm cultured.	Je suis cultivé.
I'm finished.	J'ai terminé.
I'm hungover.	J'ai la gueule de bois.
I'm new here.	Je suis nouveau, ici.
I'm not dumb.	Je ne suis pas abruti.
I'm not mean.	Je ne suis pas méchante.
I'm off duty.	Je ne suis pas en service.
I'm powerful.	Je suis puissante.
I'm reformed.	Je me suis amendée.
I'm so tired!	Je suis si fatigué !
I'm stubborn.	Je suis têtue.
I'm thorough.	Je suis minutieux.
I'm too busy.	Je suis trop affairé.
I'm worn out.	Je suis épuisé.
I've lost it.	Je l’ai perdu.
Is Tom there?	Est-ce que Tom est ici ?
Is it an elk?	Est-ce un élan ?
Is that love?	C'est ça l'amour ?
Is this love?	Est-ce de l'amour ?
It is a book.	C'est un livre.
It was a lie.	C'était un mensonge.
It wasn't me.	Ce n'était pas moi.
It's a rumor.	Il s'agit d'une rumeur.
It's bedtime.	C'est l'heure de se coucher.
It's hideous.	C'est hideux.
It's obvious.	C'est évident.
It's so easy.	C'est tellement facile.
Keep driving.	Continue à rouler !
Keep running.	Continuez à courir.
Lead the way.	Montre le chemin.
Let me sleep.	Laisse-moi dormir.
Let's try it.	Essayons-le.
Make a guess.	Hasarde une hypothèse !
My feet hurt.	Mes pieds me font mal.
No one spoke.	Personne ne parla.
Now fix that.	Maintenant, répare ça.
Please leave.	Pars, s'il te plaît.
Pray for Tom.	Priez pour Tom.
She is a fox.	C'est un renard.
She liked it.	Elle l'a apprécié.
She sued him.	Elle le poursuivit en justice.
Stay with me.	Restez avec moi.
Stop arguing.	Arrêtez de vous disputer !
Stop the car.	Arrêtez la voiture !
Sweet dreams!	Faites de beaux rêves !
Take me home.	Amène-moi à la maison.
That will do.	Ça fera l'affaire.
That's right!	C'est vrai !
They escaped.	Elles se sont échappées.
They laughed.	Elles ont ri.
They sweated.	Elles ont transpiré.
They're cops.	Ce sont des flics.
They're gone.	Elles sont parties.
They're rich.	Elles sont riches.
This is fine.	C'est parfait.
This is love.	C'est de l'amour.
Tom can stay.	Tom peut rester.
Tom is alive.	Tom est en vie.
Tom is happy.	Tom est content.
Tom shrugged.	Tom haussa les épaules.
Tom's asleep.	Tom est endormi.
Tom's scared.	Tom est apeuré.
Try it again.	Essaye de nouveau.
Wait a while.	Attendez un moment.
Was it funny?	Était-ce drôle ?
We get on OK.	On s'entend bien.
We live here.	Nous vivons ici.
We must wait.	Il nous faut attendre.
We sat there.	Nous nous sommes assis là-bas.
We'll attend.	Nous y assisterons.
We're at war.	Nous sommes en guerre.
We're joking.	Nous plaisantons.
We're ruined.	Nous sommes ruinées.
Welcome back.	Soyez de nouveau le bienvenu !
What a phony!	Quel charlatan !
What is that?	Qu'est-ce que c'est que ça ?
Who built it?	Qui l'a bâti ?
Who sent you?	Qui vous a envoyée ?
Who will pay?	Qui va payer ?
Won't you go?	N'allez-vous pas y aller ?
You are good.	Tu es bon.
You did that.	Vous avez fait ça.
You hurt him.	Tu l'as blessé.
You promised.	Tu as promis.
You're bossy.	Tu joues au chef.
You're dirty.	Tu es sale.
You're early.	Vous êtes matinal.
You're first.	Vous êtes en premier.
You're gross!	Tu es malpoli !
You're naive.	Vous êtes naïves.
You're smart.	Tu es intelligent.
You're tough.	Vous êtes dur.
You're wrong.	Tu as tort.
Air the futon.	Aère le futon !
Any questions?	De quelconques questions ?
Are they tall?	Sont-elles grandes ?
Are you awake?	Es-tu réveillée?
Are you happy?	Êtes-vous heureux ?
Are you ready?	Êtes-vous prêts ?
Are you tired?	Êtes-vous las ?
Be a good boy.	Sois un chic type !
Be respectful.	Soyez respectueuses !
Bring it here.	Apportez-le ici.
Can I ask why?	Puis-je demander pourquoi ?
Can you drive?	Sais-tu conduire ?
Check, please.	J'aimerais la note, je vous prie.
Crime is down.	La criminalité est en baisse.
Did Tom fight?	Tom s'est-il battu ?
Do I look fat?	Ai-je l'air gros ?
Do what I say.	Fais ce que je dis.
Do you get it?	Est-ce que vous captez ?
Don't be mean.	Ne sois pas mesquin !
Don't deny it.	Ne le niez pas !
Don't give up!	N'abandonne pas !
Don't mock me.	Ne te moque pas de moi.
Don't sass me.	Ne sois pas impertinent à mon égard.
Drop your gun!	Laisse tomber ton arme !
Even Tom lied.	Même Tom a menti.
Get off of me.	Lâche-moi.
Give it to me!	Donne-le-moi !
God bless you!	Que Dieu te bénisse !
Hang on tight.	Accroche-toi bien !
He can't swim.	Il ne sait pas nager.
He fooled her.	Il la dupa.
He hugged her.	Il l'enlaça.
He is my boss.	C'est mon patron.
He is too old.	Il est trop vieux.
He liked that.	Il a apprécié cela.
He shot at me.	Il me tira dessus.
He tricked me.	Il m'a arnaquée.
He went blind.	Il est devenu aveugle.
He's adorable.	Il est adorable.
He's insecure.	Il est peu sûr de lui.
He's so young.	Il est tellement jeune.
He's your son.	Il est votre fils.
Hold the door.	Retenez la porte !
How do I look?	De quoi ai-je l'air ?
I always walk.	Je vais toujours à pied.
I am diabetic.	Je suis diabétique.
I am very sad.	Je suis très triste.
I borrowed it.	Je l'ai emprunté.
I can buy one.	Je peux en acheter un.
I can't dance.	Je ne sais pas danser.
I contributed.	J'y ai contribué.
I despise you.	Je vous méprise.
I didn't care.	Je n'ai pas fait attention.
I do like you.	Je t'apprécie vraiment.
I don't snore.	Je ne ronfle pas.
I fed the dog.	J'ai donné à manger au chien.
I feel lonely.	Je me sens seul.
I feel stupid.	Je me sens stupide.
I felt reborn.	Je me suis sentie renaître.
I forbid that.	J'interdis cela.
I got a bonus.	J'ai obtenu une prime.
I had no clue.	Je n'en avais aucune idée.
I had to stop.	Il fallait que je cesse.
I hate losing.	Je déteste perdre.
I have a date.	J'ai un rendez-vous galant.
I have doubts.	J'ai des doutes.
I have to try.	Il faut que j'essaie.
I kid you not.	Je ne te raconte pas de craques.
I let them go.	Je les ai laissées partir.
I like garlic.	J'aime l'ail.
I like to run.	J'aime faire du jogging.
I lost my dog.	J'ai perdu mon chien.
I love baking.	J'adore cuisiner.
I love myself.	Je m'aime.
I made a list.	Je fis une liste.
I miss Boston.	Boston me manque.
I must object.	Il me faut formuler une objection.
I need a lamp.	J'ai besoin d'une lampe.
I need my key.	J'ai besoin de ma clé.
I outrank you.	Je vous dépasse.
I play violin.	Je joue du violon.
I remember it.	Je me le rappelle.
I rescued you.	Je vous ai sauvés.
I saw someone.	J'ai vu quelqu'un.
I stole a gun.	J'ai volé un flingue.
I told you so.	Je te l'ai dit !
I volunteered.	Je me suis porté volontaire.
I want to run.	Je veux courir.
I was careful.	J'ai été prudente.
I was excited.	J'étais excitée.
I was relaxed.	J'étais détendue.
I was unlucky.	J'ai été malchanceux.
I went hiking.	Je suis parti en excursion.
I woke you up.	Je vous ai réveillés.
I'll be brief.	Je serai brève.
I'll clean up.	Je nettoierai.
I'll go check.	J'irai vérifier.
I'll miss you.	Tu vas me manquer.
I'll tell you.	Je vous dirai.
I'm a soldier.	Je suis soldat.
I'm all alone.	Je suis tout seul.
I'm an orphan.	Je suis orphelin.
I'm busy, too.	Je suis également occupé.
I'm dedicated.	Je suis dévoué.
I'm exhausted.	Je suis épuisée.
I'm forgetful.	Je suis distraite.
I'm impulsive.	Je suis impulsive.
I'm miserable.	Je suis malheureuse.
I'm not alone.	Je ne suis pas seul.
I'm not going.	Je n'y vais pas.
I'm not obese.	Je ne suis pas obèse.
I'm observant.	Je suis respectueux.
I'm powerless.	Je suis désarmée.
I'm so lonely.	Je suis si seul.
I'm too drunk.	Je suis trop saoul.
I'm voting no.	Je vote non.
Is Tom around?	Tom est-il dans les parages ?
Is it my turn?	C'est mon tour ?
Is that a cat?	Est-ce que c'est un chat ?
Is there more?	Y a-t-il plus ?
Isn't it true?	N'est-ce pas vrai ?
It has a leak.	Il fuit.
It looks fine.	Ça a l'air au poil.
It takes time.	Ça prend du temps.
It was broken.	C'était cassé.
It won't hurt.	Cela ne va pas faire mal.
It's a parody.	C'est une parodie.
It's all over.	C'est complètement fini.
It's fall now.	C'est l'automne, maintenant.
It's not easy.	Ce n'est pas facile.
It's not true.	Ce n'est pas vrai.
It's personal.	C'est personnel.
It's the cops!	Ce sont les flics !
It's too thin.	C'est trop ténu.
Just a minute.	Une minute.
Keep Tom safe.	Protégez Tom.
Let me see it.	Laisse-moi la voir.
Let's do this.	Faisons ça.
Life is short.	La vie est brève.
Lock the safe.	Fermez le coffre.
Make it quick.	Faites vite !
May I come in?	Puis-je entrer ?
My dog is big.	Mon chien est grand.
No one's here.	Personne n'est ici.
OK, I'm ready.	Bon, je suis prêt.
Out of my way!	Hors de mon chemin !
Read after me.	Lis après moi.
Rest in peace.	Repose en paix.
See you there.	Rendez-vous là-bas.
She got angry.	Elle s'est mise en colère.
She is a twin.	C'est une jumelle.
She looks sad.	Elle paraît triste.
She was livid.	Elle était livide.
She's my type.	Elle est mon genre.
Shut the door.	Ferme la porte !
Speak quietly.	Parle doucement.
Stay positive.	Reste positif !
Stop dreaming.	Arrête de rêver.
Stop worrying.	Arrête de t'inquiéter.
Take a chance.	Essaie !
That meant no.	Ça voulait dire non.
That was ours.	C'était la nôtre.
That's a joke.	Il s'agit d'une blague.
That's doable.	C'est faisable.
That's lovely.	C'est charmant.
That's normal.	C'est normal.
That's untrue.	C'est faux.
They all died.	Ils sont tous morts.
They fixed it.	Ils l'ont réparé.
They look sad.	Ils ont l'air triste.
They're Asian.	Ils sont asiatiques.
They're brave.	Elles sont courageuses.
They're dying.	Ils sont en train de mourir.
They're spies.	Ce sont des espionnes.
This is a DVD.	C'est un DVD.
This is crazy.	C'est dingue.
This is wrong.	C'est faux.
Tie your shoe.	Noue ton lacet.
Tom can do it.	Tom peut le faire.
Tom felt safe.	Tom s'est senti en sécurité.
Tom hesitated.	Tom hésita.
Tom is hiding.	Tom se cache.
Tom let us go.	Tom nous a laissé partir.
Tom said that.	Tom a dit ça.
Tom was dying.	Tom était en train de mourir.
Tom went pale.	Tom a pâli.
Tom's injured.	Tom est blessé.
Try to resist.	Essaye de résister.
Wait till six.	Attendez jusqu'à six heures.
Was that a no?	Était-ce un non ?
We all agreed.	Nous sommes toutes tombées d'accord.
We caught you.	Nous t'avons attrapée.
We had a deal.	On avait un accord.
We met before.	Nous nous sommes rencontrées auparavant.
We need a car.	Il nous faut une voiture.
We need to go.	Il nous faut nous en aller.
We want peace.	Nous voulons la paix.
We were right.	Nous avions raison.
We'll find it.	On va la trouver.
We're careful.	Nous sommes prudentes.
We're fasting.	Nous faisons la diète.
We're in sync.	Nous sommes synchronisées.
We're not old.	Nous ne sommes pas vieilles.
We're sinking.	Nous coulons.
We're staying.	Nous restons.
We're trapped!	Nous sommes piégés !
We're wealthy.	Nous sommes riches.
Were you busy?	Étais-tu occupé ?
Were you shot?	Vous a-t-on tiré dessus ?
What do I owe?	Combien dois-je ?
When was that?	Quand cela a-t-il eu lieu ?
Who hired you?	Qui t'a recruté ?
Who washed it?	Qui l'a lavée ?
Who's with me?	Qui est avec moi ?
You are early.	Tu viens tôt.
You are wrong.	Vous avez tort.
You hypocrite!	Sale hypocrite !
You look fine.	Vous avez l'air en forme.
You needed me.	Tu avais besoin de moi.
You stay here.	Vous restez ici.
You'll go far.	Tu iras loin.
You're a snob.	Tu es snob.
You're bright.	Vous êtes brillant.
You're crafty.	Vous êtes rusé.
You're creepy.	Tu es sinistre.
You're greedy.	Vous êtes avide.
You're joking!	Tu plaisantes !
You're my age.	Vous êtes de mon âge.
You're skinny.	Vous êtes maigrichon.
You're sneaky.	Tu es sournoise.
You've failed.	Tu as échoué.
Am I intruding?	Est-ce que je dérange ?
Are we sinking?	Sommes-nous en train de couler ?
Are you hiring?	Embauches-tu ?
Are you joking?	Tu plaisantes ?
Are you racist?	Es-tu raciste ?
Avoid clichés.	Évitez les clichés.
Both are alive.	Elles sont toutes deux vivantes.
Buy me a drink.	Offrez-moi un coup !
Can I help you?	Puis-je vous aider ?
Can I sit here?	Puis-je m'asseoir ici ?
Can you juggle?	Sais-tu jongler ?
Check everyone.	Vérifie tout le monde.
Come back here.	Revenez ici !
Cows give milk.	Les vaches produisent du lait.
Did I hurt you?	Vous ai-je blessée ?
Did Tom buy it?	Tom l'a-t-il acheté ?
Did you go out?	Êtes-vous sortie ?
Dinner's ready.	Le dîner est prêt.
Do as you like.	Faites comme il vous plaira.
Do it this way.	Fais-le ainsi.
Do you hate me?	Tu me détestes ?
Do you like it?	Tu aimes ?
Do you miss it?	Est-ce qu'il vous manque ?
Does it matter?	Cela a-t-il de l'importance ?
Don't be crude.	Ne soyez pas salace !
Don't be sorry.	Ne soyez pas désolé !
Don't be upset.	Ne sois pas contrarié !
Don't buy that.	Ne gobe pas ça.
Don't leave us.	Ne nous quitte pas !
Don't show off.	Arrête de te la péter !
Don't touch it.	N'y touche pas.
Drop me a line.	Laissez-moi un mot.
Enjoy your day.	Bonne journée à vous !
Fight like men.	Battez-vous comme des hommes.
Get in the van.	Grimpez dans la camionnette !
Get on with it.	Continue !
Give him a hug.	Fais-lui un câlin !
Give me a hint.	Donne-moi un indice.
Go look for it.	Va le chercher !
Grab your gear.	Attrapez vos affaires !
Have you slept?	As-tu dormi ?
He came by car.	Il vint en voiture.
He deserved it.	Il l'a mérité.
He got the job.	Il a eu le poste.
He has left us.	Il nous a quittés.
He is bankrupt.	Il est en faillite.
He likes jelly.	Il aime la gelée.
He loves music.	Il adore la musique.
He scolded her.	Il l'a grondée.
He sold us out.	Il nous a vendues.
He was English.	Il était Anglais.
He was perfect.	Il était parfait.
He works a lot.	Il travaille beaucoup.
He's an author.	C'est un auteur.
He's not going.	Il ne s'y rend pas.
Here comes Tom.	Voilà Tom.
His head ached.	Il avait mal à la tête.
How good is he?	Jusqu'à quel point est-il bon ?
How tall is he?	Quelle taille fait-il ?
Hurry up, guys.	Magnez-vous, les mecs !
I am in a spot.	Je suis dans le pétrin.
I began to run.	J'ai commencé à courir.
I borrow money.	J'emprunte de l'argent.
I came for you.	Je suis venu à cause de toi.
I can't get in.	Je ne parviens pas à y pénétrer.
I decorated it.	Je l'ai décoré.
I didn't argue.	Je ne me suis pas disputé.
I didn't speak.	Je n'ai pas parlé.
I don't get it.	Ça m'échappe.
I feel blessed.	Je me sens bénit.
I feel useless.	Je me sens inutile.
I felt cheated.	Je me sentis trompé.
I followed you.	Je vous ai suivi.
I get the idea.	Je pige.
I got confused.	J'ai été désorienté.
I had a stroke.	J'ai fait un accident vasculaire cérébral.
I had some fun.	Je me suis amusée.
I hate her now.	Maintenant, je la déteste.
I hate my boss.	Je déteste mon patron.
I hate working.	Je déteste travailler.
I have amnesia.	Je souffre d'amnésie.
I have no idea.	Je n'ai aucune idée.
I have the key.	J'ai la clé.
I hiccup a lot.	J'ai souvent le hoquet.
I kept my word.	Je tins parole.
I let you down.	Je vous ai laissées tomber.
I like fishing.	J'aime pêcher.
I like puzzles.	J'aime les énigmes.
I like talking.	J'aime causer.
I like working.	J'aime travailler.
I love bananas.	J'adore les bananes.
I love my life.	J'adore ma vie.
I love to read.	J'adore lire.
I made him cry.	Je l'ai fait pleurer.
I missed a lot.	J'ai beaucoup raté.
I need a drink.	J'ai besoin de boire un verre.
I need surgery.	J'ai besoin d'une opération.
I needed money.	Il me fallut de l'argent.
